id,location_type,species,common_name,space_type,address,street,side,dbh,stems,height,space_length,space_width,overhead_utilities,hardscape,cultivar,date,notes,longitude,latitude,x,y
227598,Street,Morus rubra,"mulberry, red",Open/Unrestricted,3706,MENLO DR,Rear,2.1,1,8,>20,>20,Both,None, ,"5/1/2017, 8:00 PM",DBH at 2,-76.69256901,39.35572302,1399266.643083334,615292.1636960059
227599,Street,Ulmus rubra,"elm, slippery",Open/Unrestricted,3708,MENLO DR,Rear,15.9,1,40,>20,>20,Both,None, ,"5/1/2017, 8:00 PM", ,-76.6927708,39.35561772,1399209.7117667645,615253.6152166724
227600,Street,Acer negundo,boxelder,Open/Unrestricted,3708,MENLO DR,Rear,10,1,25,>20,>20,Both,None, ,"5/1/2017, 8:00 PM", ,-76.69273372,39.35563481,1399220.175328508,615259.8760309219
227601,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,3714,MENLO DR,Side,24.4,1,55,>20,>20,None,None, ,"5/1/2017, 8:00 PM",cavity or decay,-76.69290842,39.35536024,1399171.113090679,615159.7020186782
227602,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,3714,MENLO DR,Rear,14.2,1,35,>20,>20,Both,None, ,"5/1/2017, 8:00 PM", ,-76.69296617,39.3555091,1399154.5986880064,615213.8682489246
227603,Street,Acer saccharinum,"maple, silver",Tree Lawn,3716,GLEN AVE,Side,13,1,45,>20,3,None,None, ,"5/1/2017, 8:00 PM", ,-76.69200324,39.35430724,1399428.368153587,614777.0193850845
227604,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,3714,MENLO DR,Side,7,1,35,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.69287172,39.35530903,1399181.553686589,615141.0829614252
227605,Street,Tilia tomentosa,"linden, silver",Tree Lawn,3716,GLEN AVE,Front,3.7,1,15,12,3,None,None, ,"5/1/2017, 8:00 PM", ,-76.69163174,39.3540062,1399533.7882183343,614667.7249842584
227606,Street,Tilia cordata,"linden, littleleaf",Tree Lawn,3716,GLEN AVE,Side,3.5,1,20,>20,3,None,None, ,"5/1/2017, 8:00 PM", ,-76.69192266,39.35420579,1399451.2772285044,614740.145115003
227607,Street,Quercus acutissima,"oak, sawtooth",Tree Lawn,3700,GLEN AVE,Front,38.3,1,60,>20,4,None,None, ,"5/1/2017, 8:00 PM", ,-76.69037609,39.35464962,1399888.0676935017,614903.2861929238
227608,Street,Quercus acutissima,"oak, sawtooth",Tree Lawn,3710,GLEN AVE,Front,25.8,1,50,>20,4,None,Concrete, ,"5/1/2017, 8:00 PM",cavity or decay,-76.69116613,39.35424218,1399665.163283676,614754.1221211702
227610,Street,Tilia cordata,"linden, littleleaf",Tree Lawn,3616,GLEN AVE,Front,19.5,1,40,>20,3,None,None, ,"5/1/2017, 8:00 PM",poor root system,-76.68969585,39.35500359,1400079.984632507,615032.8659862578
227614,Street,Quercus acutissima,"oak, sawtooth",Tree Lawn,4014,GLEN AVE,Front,28.3,1,45,10,5,None,None, ,"5/1/2017, 8:00 PM", ,-76.69436696,39.35203675,1398762.7290649265,613947.7746525109
227618,Street,Pinus virginiana,"pine, Virginia",Open/Unrestricted,5901,REISTERSTOWN ROAD,Front,9,1,35,>20,8,None,None, ,"5/1/2017, 8:00 PM",cavity or decay,-76.69535808,39.35137345,1398483.2588233352,613705.2400325835
227620,Street,Platanus x acerifolia,"planetree, London",Tree Lawn,6115,BILTMORE AVE,Front,29.4,1,55,>20,3,Both,None, ,"5/1/2017, 8:00 PM", ,-76.69326993,39.35694533,1399066.947616592,615736.7067701668
227621,Street,Quercus rubra,"oak, northern red",Tree Lawn,6106,BILTMORE AVE,Front,22.8,1,45,4,4,Electric,None, ,"5/1/2017, 8:00 PM",poor root system,-76.6923387,39.35638242,1399330.9592276812,615532.5601968318
227622,Street,Tilia cordata,"linden, littleleaf",Tree Lawn,6103,BILTMORE AVE,Front,21.6,1,45,>20,4,None,None, ,"5/1/2017, 8:00 PM", ,-76.69204778,39.35635706,1399413.253682509,615523.6002410054
227623,Street,Platanus x acerifolia,"planetree, London",Tree Lawn,6115,BILTMORE AVE,Front,35.5,1,55,>20,3,None,None, ,"5/1/2017, 8:00 PM", ,-76.69301608,39.35680253,1399138.9005566686,615684.9368605912
227624,Street,Acer platanoides,"maple, Norway",Tree Lawn,6101,BILTMORE AVE,Front,23,1,45,>20,4,None,None, ,"5/1/2017, 8:00 PM",poor root system; crown dieback,-76.69187594,39.35626719,1399461.9560129195,615491.0310804248
227626,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,6102,BILTMORE AVE,Side,18.4,1,45,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.69197719,39.35609903,1399433.5315290838,615429.685402587
227627,Street,Zelkova serrata,"zelkova, Japanese",Tree Lawn,6110,BILTMORE AVE,Front,33.5,1,55,>20,4,Electric,None, ,"5/1/2017, 8:00 PM",frost cracking,-76.69266812,39.35653845,1399237.6172227561,615589.0774722546
227628,Street,Quercus rubra,"oak, northern red",Open/Unrestricted,3706,MENLO DR,Rear,57,1,55,>20,>20,Both,None, ,"5/1/2017, 8:00 PM",crown dieback; tip dieback,-76.69244922,39.35578588,1399300.4392755926,615315.1708678454
227629,Street,Ulmus x,"elm, hybrid",Open/Unrestricted,6006,PARK HEIGHTS AVE,Rear,1.6,1,7,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.690862,39.35664154,1399748.2057685107,615628.3542965949
227630,Street,Acer saccharum,"maple, sugar",Open/Unrestricted,3706,MENLO DR,Rear,3.1,1,30,>20,>20,Both,None, ,"5/1/2017, 8:00 PM",DBH at 2,-76.69267739,39.35566513,1399236.0667009205,615270.9744339287
227631,Street,Morus rubra,"mulberry, red",Open/Unrestricted,3708,MENLO DR,Rear,10.9,1,45,>20,>20,Both,None, ,"5/1/2017, 8:00 PM", ,-76.69280289,39.35559842,1399200.661916092,615246.556175679
227632,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,6102,BILTMORE AVE,Side,20,3,45,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM", ,-76.69191373,39.35614259,1399451.4228975028,615445.6105675846
227633,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,6102,BILTMORE AVE,Side,18,1,40,>20,>20,Electric,None, ,"5/1/2017, 8:00 PM",hazard broken branch,-76.69205063,39.35606099,1399412.810770005,615415.7589212507
227634,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,3714,MENLO DR,Side,7.3,1,30,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.69288669,39.35533715,1399177.284994334,615151.3106312603
227635,Street,Prunus spp.,"cherry/plum, spp.",Open/Unrestricted,3706,MENLO DR,Rear,1.5,1,20,>20,>20,Both,None, ,"5/1/2017, 8:00 PM", ,-76.69260965,39.35570042,1399255.177883178,615283.8914028406
227636,Street,Tilia cordata,"linden, littleleaf",Tree Lawn,3716,GLEN AVE,Side,4.7,1,20,>20,3,None,None, ,"5/1/2017, 8:00 PM",remove vine,-76.69196402,39.3542725,1399439.500349179,614764.4049089998
227637,Street,Morus rubra,"mulberry, red",Open/Unrestricted,3708,MENLO DR,Rear,10.1,1,30,>20,>20,Both,None, ,"5/1/2017, 8:00 PM",poor root system,-76.6927544,39.35562378,1399214.3416787535,615255.8399497569
227638,Street,Acer platanoides,"maple, Norway",Open/Unrestricted,3714,MENLO DR,Side,23,1,30,>20,>20,None,None, ,"5/1/2017, 8:00 PM", ,-76.69285032,39.35528642,1399187.6301180124,615132.8697232604
227639,Street,Sassafras albidum,sassafras,Open/Unrestricted,3714,MENLO DR,Side,8,3,30,>20,>20,None,None, ,"5/1/2017, 8:00 PM",improperly installed,-76.69300254,39.35545176,1399144.3861100078,615192.9483432621
227643,Street,Pyrus calleryana,"pear, callery",Tree Lawn,3902,GLEN AVE,Front,12.9,1,25,12,4,Electric,None, ,"5/1/2017, 8:00 PM",remove poison ivy,-76.69322467,39.35290239,1399084.6933160126,614264.15689376
227644,Street,Acer platanoides,"maple, Norway",Tree Lawn,3716,GLEN AVE,Side,20.2,1,45,>20,3,None,None, ,"5/1/2017, 8:00 PM",cavity or decay,-76.6917608,39.35403266,1399497.260404259,614677.2410413325
227645,Street,Prunus spp.,"cherry/plum, spp.",Tree Lawn,4000,GLEN AVE,Front,11.8,1,20,>20,4,Electric,None, ,"5/1/2017, 8:00 PM",poor structure,-76.69375517,39.35250596,1398935.1611347497,614119.2588895857
227646,Street,Acer saccharinum,"maple, silver",Tree Lawn,3704,GLEN AVE,Front,13.3,1,40,>20,4,None,None, ,"5/1/2017, 8:00 PM", ,-76.69076327,39.35445996,1399778.8162715882,614833.8322635889
227648,Street,Tilia cordata,"linden, littleleaf",Tree Lawn,3612,GLEN AVE,Front,15.8,1,45,>20,3,None,None, ,"5/1/2017, 8:00 PM",poor root system,-76.68948336,39.35510834,1400139.9405493438,615071.2261457592
227649,Street,Quercus rubra,"oak, northern red",Open/Unrestricted,5901,REISTERSTOWN ROAD,Front,3.5,1,25,>20,8,None,None, ,"5/1/2017, 8:00 PM",remove hardware,-76.69569677,39.35162046,1398387.180275336,613794.8924123347
227651,Street,Quercus acutissima,"oak, sawtooth",Open/Unrestricted,5901,REISTERSTOWN ROAD,Front,16.7,1,40,>20,8,None,None, ,"5/1/2017, 8:00 PM", ,-76.69533241,39.35136297,1398490.5307904184,613701.4483735114
